Newspaper,Market,Owner,StdName2,StdOwner2,double,StdMarket2,RemovableSlash,Swap2017
picton gazette,prince%20edward,napanee beaver ltd.,,,,,,
port dover maple leaf,port%20dover,port dover maple leaf limited,,,,,,
port perry star,port%20perry,metroland media group ltd.,,,,,,
post,cfb%20petawawa,department of national defence,,,,petawawa,,
post,petawawa,department of national defence,,,,,,
prescott journal,prescott,st. lawrence printing co. ltd.,,,,,,
prescott journal,prescott,the morris group,,,,,,
quinte west news,quinte%20west,metroland media group ltd.,,,,,,1
r??gional le,hamilton&niagara&kitchener&welland,altomedia inc.,le regional,,,,,
rainy river record,rainy%20river,fort frances times ltd.,,,,,,
record,chesterville,etcetera publications,,,,,,
recorder,mattawa,ontario inc.,,,,,,
red lake northern sun news,red%20lake,red lake digital media,northern sun news,,,,,
reflet,embrun,compagnie d'edition andre paquette,,,,,,
rempart le,windsor,les pubs. des grands-lacs,,,,,,
renfrew mercury,renfrew,metroland media group ltd.,,,,,,
reporter,gananoque,postmedia network inc.,,,,,,
reporter,gananoque,sun media corporation,,,,,,
review mirror,westport,the mirror group,,,,,,
richmond hill post,toronto,post city magazines,,,,,,
richmond hill/thornhill liberal,richmond%20hill&thornhill,metroland media group ltd.,the liberal,,,,,
river town times,amherstburg,river town times,,,,,,
river town times,amherstburg,southpoint publishing inc.,,,,,,
rockland vision,rockland,vision,vision,,,,,
russell villager,russell,etcetera publications,,,,,,
sachem extra haldimand county news,caledonia,ontario ltd.,,,,,,
salam toronto,toronto,salam toronto publications,,,,,,
sarnia journal,sarnia,sarnia media group inc.,,,,,,
sarnia journal,sarnia,the sarnia journal,,,,,,
sarnia/lambton this week,sarnia,postmedia network inc.,,,,,,
sarnia/lambton this week,sarnia,sun media corporation,,,,,,
sault this week,sault%20ste.%20marie,postmedia network inc.,this week,,,,,
sault this week,sault%20ste.%20marie,sun media corporation,this week,,,,,
scarborough mirror,scarborough,metroland media group ltd.,,,,,,
scene,london,scene communications,,,,,,
scugog standard,port%20perry,scugog standard shareholders inc.,the standard,,,,,
seaway news,cornwall,icimedias inc.,,,,,,
seaway news,cornwall,tc.transcontinental,,,,,,
sentinel,lucknow,postmedia network inc.,,,,,,
sentinel,lucknow,sun media corporation,,,,,,
shelburne free press & economist,shelburne,london publishing corporation,,,,,,
shelburne free press & economist & economist,shelburne,london publishing corporation,shelburne free press & economist ,,,,,
shoreline beacon,port%20elgin,sun media corporation,,,,,,
shoreline beaconon,port%20elgin,postmedia network inc.,shoreline beacon,,,,,
shoreline beaconon,port%20elgin,sun media corporation,shoreline beacon,,,,,
shoreline week,tecumseh&st.%20clair%20beach&windsor,postmedia network inc.,,,,,,
signalstar,goderich,postmedia network inc.,,,,,,
signalstar,goderich,sun media corporation,,,,,,
signpost,dorchester,dorchester signpost,,,,,,
simcoe times reformer,simcoe,sun media corporation,times reformer,,,,,
sioux lookout bulletin,sioux%20lookout,ontario inc.,,,,,,
smiths falls record news,smiths%20falls,metroland media group ltd.,,,,,,
snap 1000 islands,1000%20islands&brockville,snapd inc.,,,,,,
snap ajax,ajax,snapd inc.,,,,,,
snap annex,toronto,snapd inc.,,,,,,
snap aurora,aurora,snapd inc.,,,,,,
snap barrie,barrie,snapd inc.,,,,,,
snap beach/danforth,toronto,snapd inc.,,,,,,
snap bloor west,toronto,snapd inc.,,,,,,
snap brampton,brampton,snapd inc.,,,,,,
snap burlington,burlington,snapd inc.,,,,,,
snap cabbagetown,toronto,snapd inc.,,,,,,
snap caledon,caledon,snapd inc.,,,,,,
snap cambridge,cambridge,snapd inc.,,,,,,
snap clarington,clarington,snapd inc.,,,,,,
snap college,toronto,snapd inc.,,,,,,
