,Address,Longitude,Latitude,CSDUID,CSDNAME,CSDTYPE,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE
2704,"port stanley ,ON, Canada",-81.2121712,42.6660437,3534020,Central Elgin,MU,35,Ontario,3534,Elgin,CTY,3534020,Central Elgin,3560,London,555,1,555,35555,London,B
1990,"lakefield ,ON, Canada",-78.2721953,44.4233365,3515015,Selwyn,TP,35,Ontario,3515,Peterborough,CTY,3515015,Selwyn,3520,Muskoka--Kawarthas,529,1,529,35529,Peterborough,B
2231,"grand bend ,ON, Canada",-81.757507,43.312689,3538040,Lambton Shores,MU,35,Ontario,3538,Lambton,CTY,3538040,Lambton Shores,3570,Windsor--Sarnia,997,5,,,,
2635,"zurich ,ON, Canada",-81.624703,43.421133,3540010,Bluewater,MU,35,Ontario,3540,Huron,CTY,3540010,Bluewater,3580,Stratford--Bruce Peninsula,997,5,,,,
2261,"belle river ,ON, Canada",-82.7113352,42.2928986,3537064,Lakeshore,T,35,Ontario,3537,Essex,CTY,3537064,Lakeshore,3570,Windsor--Sarnia,559,1,559,35559,Windsor,B
2257,"lambton-middlesex ,ON, Canada",-81.65954471,42.82117265,3539005,Southwest Middlesex,MU,35,Ontario,3539,Middlesex,CTY,3539005,Southwest Middlesex,3560,London,996,4,,,,
2603,"lasalle ,ON, Canada",-83.06409001,42.21807995,3537034,LaSalle,T,35,Ontario,3537,Essex,CTY,3537034,LaSalle,3570,Windsor--Sarnia,559,1,559,35559,Windsor,B
2170,"hawkesbury ,ON, Canada",-74.6055611,45.610281,3502008,Hawkesbury,T,35,Ontario,3502,Prescott and Russell,UC,3502010,Champlain,3510,Ottawa,502,3,502,35502,Hawkesbury (Ontario part / partie de l'Ontario),D
2575,"hearst ,ON, Canada",-83.666382,49.690732,3556076,Hearst,T,35,Ontario,3556,Cochrane,DIS,3556092,"Cochrane, Unorganized, North Part",3590,Northeast / Nord-est,998,6,,,,
2015,"sudbury ,ON, Canada",-80.991211,46.49272,3553005,Greater Sudbury / Grand Sudbury,CV,35,Ontario,3553,Greater Sudbury / Grand Sudbury,CDR,3553005,Greater Sudbury / Grand Sudbury,3590,Northeast / Nord-est,580,1,580,35580,Greater Sudbury / Grand Sudbury,B
